#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
| 196431:2734 | 06/15/12 19:21:14 | 441  | 441  | 53345901.379   | 52743116.731  |
| 196432:2734 | 06/15/12 22:17:41 | 34   | 34   | 3624499.940    | 3572607.659   |
| 196433:2734 | 06/15/12 22:33:57 | 311  | 311  | 30248395.070   | 30083024.722  |
| 196437:2734 | 06/16/12 00:39:25 | 225  | 225  | 19415863.966   | 19209540.633  |
| 196438:2734 | 06/16/12 02:08:03 | 1269 | 1269 | 84649475.607   | 84056405.913  |
| 196452:2736 | 06/16/12 16:12:22 | 1006 | 1006 | 115819976.877  | 113317102.463 |
| 196495:2737 | 06/17/12 16:59:40 | 158  | 158  | 21108092.597   | 20634509.096  |
| 196497:2737 | 06/17/12 18:12:02 | 56   | 56   | 6941804.504    | 6884924.872   |
| 196501:2737 | 06/17/12 19:24:41 | 33   | 33   | 3705139.176    | 3556358.514   |
| 196509:2737 | 06/17/12 20:07:52 | 68   | 68   | 7168377.264    | 7085304.846   |
| 196531:2739 | 06/18/12 06:32:17 | 376  | 376  | 49323851.104   | 48439791.220  |
| 198049:2797 | 07/02/12 06:33:57 | 53   | 53   | 1683122.576    | 1652488.110   |
| 198050:2797 | 07/02/12 06:59:36 | 155  | 155  | 4711568.542    | 4640794.339   |
| 198063:2797 | 07/02/12 08:03:42 | 294  | 294  | 8111365.335    | 8024406.122   |
| 198116:2798 | 07/02/12 15:27:55 | 77   | 77   | 6256558.584    | 6044907.853   |
| 198207:2805 | 07/03/12 17:24:56 | 96   | 96   | 6762713.895    | 6677615.495   |
| 198208:2805 | 07/03/12 18:11:26 | 198  | 198  | 12420462.125   | 12241976.298  |
| 198210:2805 | 07/03/12 19:39:26 | 208  | 208  | 11379483.808   | 11296645.619  |
| 198212:2805 | 07/03/12 21:21:04 | 574  | 574  | 25503008.521   | 25223651.090  |
| 198213:2805 | 07/04/12 01:07:23 | 107  | 107  | 4054041.540    | 3959643.170   |
| 198215:2805 | 07/04/12 01:59:27 | 12   | 12   | 436730.880     | 430347.116    |
| 198230:2806 | 07/04/12 05:38:55 | 1380 | 1380 | 101927728.937  | 101027666.726 |
| 198249:2806 | 07/04/12 14:40:07 | 5    | 5    | 256587.300     | 254058.683    |
| 198269:2807 | 07/04/12 20:16:07 | 196  | 196  | 25495124.577   | 25107738.664  |
| 198271:2807 | 07/04/12 21:39:48 | 797  | 797  | 76631713.237   | 75753871.859  |
| 198272:2807 | 07/05/12 02:51:52 | 618  | 618  | 42143083.394   | 41670418.065  |
| 198346:2810 | 07/05/12 17:12:18 | 3    | 3    | 327462.824     | 271393.634    |
| 198372:2812 | 07/05/12 23:33:42 | 53   | 53   | 6791142.284    | 6580632.114   |
| 198485:2816 | 07/07/12 13:40:36 | 164  | 164  | 21004992.857   | 20716763.223  |
| 198487:2816 | 07/07/12 15:02:52 | 536  | 536  | 45849657.314   | 45327533.504  |
| 198522:2819 | 07/08/12 15:43:26 | 143  | 143  | 18180625.562   | 17827444.728  |
| 198941:2840 | 07/13/12 19:27:14 | 179  | 179  | 22713696.603   | 22354742.020  |
| 198954:2842 | 07/14/12 03:11:33 | 167  | 167  | 20101130.158   | 19775110.804  |
| 198955:2842 | 07/14/12 04:23:52 | 1550 | 1550 | 121726650.320  | 120389917.122 |
| 198969:2843 | 07/14/12 17:19:30 | 1186 | 1186 | 111165013.844  | 109948139.889 |
| 199008:2847 | 07/15/12 13:46:24 | 544  | 544  | 60977836.135   | 59897303.026  |
| 199011:2847 | 07/15/12 17:30:38 | 24   | 24   | 2231312.609    | 2211078.454   |
| 199021:2848 | 07/15/12 20:20:49 | 1432 | 1432 | 130309659.818  | 128644021.809 |
| 199318:2858 | 07/20/12 02:46:36 | 70   | 70   | 9961333.056    | 9632238.318   |
| 199319:2858 | 07/20/12 03:20:52 | 988  | 988  | 101573068.370  | 100139543.212 |
| 199336:2858 | 07/20/12 09:57:20 | 967  | 967  | 62683823.378   | 62210663.103  |
| 199356:2861 | 07/20/12 23:42:58 | 132  | 132  | 17595978.213   | 17297348.615  |
| 199409:2870 | 07/21/12 20:36:48 | 1271 | 1271 | 113281421.713  | 111909507.964 |
| 199428:2871 | 07/22/12 07:51:57 | 578  | 578  | 62451238.760   | 61428202.826  |
| 199429:2871 | 07/22/12 11:45:12 | 154  | 154  | 13136285.278   | 12983389.360  |
| 199435:2872 | 07/22/12 15:08:32 | 1520 | 1520 | 128639051.742  | 127058785.011 |
| 199436:2872 | 07/23/12 01:16:35 | 740  | 740  | 37286531.574   | 36979555.261  |
| 199568:2873 | 07/23/12 19:09:20 | 126  | 126  | 14498113.037   | 14153006.702  |
| 199570:2873 | 07/23/12 22:28:09 | 17   | 17   | 1535004.557    | 1465958.687   |
